Job Title,Company Name,Location,Experience (Years),Min Experience,Max Experience,Experiencia Media,Rango Experiencia,Num Ubicaciones,Oferta Exterior,Nivel Titulo,exterior,num_ubic,nivel_medio,nivel_senior
Abroad Requirement IT Manager,RECRUITMENT CANADA IMMIGRATION CANADA,"Australia, Canada",7 - 12 Years,7,12,9.5,5,2,True,senior,1,2,0,1
"""IT Sales Executive"" , Business Development Executive",Serviots technology Pvt Ltd,Ahmedabad,2 - 6 Years,2,6,4.0,4,1,False,medio,0,1,1,0
Facilities Manager,Sameer namdep Kedari,"Bengaluru / Bangalore, Sibsagar, Bhagalpur, Muzaffarpur, Patna",4 - 9 Years,4,9,6.5,5,5,False,senior,0,5,0,1
SAP Experienced Candidates,TORRENT POWER LIMITED,Ahmedabad,3 - 5 Years,3,5,4.0,2,1,False,medio,0,1,1,0
Technician- Electrical Maintenance,Suman kumar,"Delhi, Gurgaon, Pune, Indore, Bhubaneshwar",5 - 10 Years,5,10,7.5,5,5,False,medio,0,5,1,0
React Native Developer,Management And Computer Consultants,Kolkata,1 - 4 Years,1,4,2.5,3,1,False,medio,0,1,1,0
Site  Engineer  Job In  AUSTRALIA,World wide Immigration Service Llp,Australia,4 - 8 Years,4,8,6.0,4,1,True,medio,1,1,1,0
QA | QC Engineer  Job In CANADA,World wide Immigration Service Llp,Canada,3 - 8 Years,3,8,5.5,5,1,True,medio,1,1,1,0
Sr. Sales Engineer /  Sales Manager,Ambetronics Engineers Pvt. Ltd.,Mumbai,10 - 15 Years,10,15,12.5,5,1,False,senior,0,1,0,1
MDM Data Analyst,Techno Wise,Pune,2 - 7 Years,2,7,4.5,5,1,False,medio,0,1,1,0
Software Engineer Job In  GERMANY,ADAL IMMIGRATIONS LLP,Germany,3 - 8 Years,3,8,5.5,5,1,True,medio,1,1,1,0
QA | QC Engineer  Job In AUSTRALIA,World wide Immigration Service Llp,Australia,4 - 8 Years,4,8,6.0,4,1,True,medio,1,1,1,0
Network  Engineer Job In AUSTRALIA,World wide Immigration Service Llp,Australia,4 - 8 Years,4,8,6.0,4,1,True,medio,1,1,1,0
QA | QC Engineer  Job In NEW ZEALAND,World wide Immigration Service Llp,New Zealand,3 - 8 Years,3,8,5.5,5,1,True,medio,1,1,1,0
Hardware  Engineer  Job In ABROAD,World wide Immigration Service Llp,"Canada, Singapore",2 - 7 Years,2,7,4.5,5,2,True,medio,1,2,1,0
Java - Sr. Developer  /  Lead - J48543,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,6 - 11 Years,6,11,8.5,5,1,False,senior,0,1,0,1
Software Engineer,FLARIAL SERVICES LLP,"Australia, Canada, Germany, Singapore",3 - 8 Years,3,8,5.5,5,4,True,medio,1,4,1,0
Selenium with Java Trainer,TMOKSHA TECHNOLOGIES PRIVATE LIMITED,Pune,3 - 8 Years,3,8,5.5,5,1,False,medio,0,1,1,0
"SAP Basis Consultant , Senior SAP Basis Consultant",Techno Wise,Pune,7 - 12 Years,7,12,9.5,5,1,False,senior,0,1,0,1
Field Sales  &  Marketing Executive,ABC Brothers Tech I Pvt Ltd,Ahmedabad,1 - 2 Years,1,2,1.5,1,1,False,medio,0,1,1,0
Chief Executive Officer  ( CEO ),Sarosh Karki,"Ahmedabad, Bengaluru / Bangalore, Chennai, Kolkata, Pune",5 - 10 Years,5,10,7.5,5,5,False,senior,0,5,0,1
"Orbit Wallet - React ,  MERN Stack ,  Backend Intern roles",ACCIOJOB PRIVATE LIMITED,Bengaluru / Bangalore,0 - 1 Years,0,1,0.5,1,1,False,junior,0,1,0,0
AWS Solution Architect Internship in Pune,Maxgen Technologies,"Pune, Amravati, Dhule, Sangli, Satara",0 - 1 Years,0,1,0.5,1,5,False,senior,0,5,0,1
Java Internship in Pune,Maxgen Technologies,"Pune, Jalgaon, Kolhapur, Nagpur, Solapur",0 - 1 Years,0,1,0.5,1,5,False,junior,0,5,0,0
MARKETING EXECUTIVE,SV ELECTRONICS,"Aurangabad, Nasik",1 - 2 Years,1,2,1.5,1,2,False,medio,0,2,1,0
SAP proffessionals,TORRENT POWER LIMITED,Ahmedabad,3 - 5 Years,3,5,4.0,2,1,False,medio,0,1,1,0
Business Analyst,Management And Computer Consultants,Kolkata,2 - 4 Years,2,4,3.0,2,1,False,medio,0,1,1,0
"""CalibrationEngineer"" , Electrical Control Engineer",PUNYAM ACADEMY PRIVATE LIMITED,Ahmedabad,1 - 5 Years,1,5,3.0,4,1,False,medio,0,1,1,0
Software Engineer  Job In NEW ZEALAND,World wide Immigration Service Llp,New Zealand,3 - 8 Years,3,8,5.5,5,1,True,medio,1,1,1,0
Java Full Stack Developer - J48544,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,8 - 12 Years,8,12,10.0,4,1,False,medio,0,1,1,0
Mern Stack Internship in Ahmedabad,Maxgen Technologies,"Ahmedabad, Anand, Gandhinagar, Mehsana, Surat",0 - 1 Years,0,1,0.5,1,5,False,junior,0,5,0,0
.net Core Developer,Management And Computer Consultants,Kolkata,2 - 6 Years,2,6,4.0,4,1,False,medio,0,1,1,0
Executive - SAP BASIS,TORRENT POWER LIMITED,Ahmedabad,3 - 5 Years,3,5,4.0,2,1,False,medio,0,1,1,0
Commercial Inventory Associate 42396 GGN - J48545,SAMPOORNA CONSULTANTS PVT LTD,Gurgaon,1 - 3 Years,1,3,2.0,2,1,False,junior,0,1,0,0
Data Science Internship in Ahmedabad,Maxgen Technologies,"Ahmedabad, Bhavnagar, Junagarh, Rajkot, Surendranagar",0 - 1 Years,0,1,0.5,1,5,False,junior,0,5,0,0
OVERSEAS JOB - APPLICATION DEVELOPMENT -  INTERNATIONAL LOCATION,RECRUITMENT CANADA IMMIGRATION CANADA,Canada,8 - 13 Years,8,13,10.5,5,1,True,junior,1,1,0,0
ABROAD REQUIREMENT - DBA  / ORACAL  / SQL - INTERNATIONAL LOCATION,RECRUITMENT CANADA IMMIGRATION CANADA,"Australia, Canada, Other International Location(s)",8 - 13 Years,8,13,10.5,5,3,True,junior,1,3,0,0
ABROAD JOB OFFER - CORPORATE SALES - CAN AUS NZ DM UK GULF,RECRUITMENT CANADA IMMIGRATION CANADA,"Australia, Canada, Other International Location(s)",8 - 13 Years,8,13,10.5,5,3,True,medio,1,3,1,0
Internation Job for Tour  &  Traval - canada Austraia,RECRUITMENT CANADA IMMIGRATION CANADA,"Canada, Other International Location(s)",10 - 15 Years,10,15,12.5,5,2,True,junior,1,2,0,0
REQUIREMENT - HOSPITALITY JOB OFFER  - CANADA AUSTRALIA,RECRUITMENT CANADA IMMIGRATION CANADA,"Canada, Other International Location(s)",11 - 16 Years,11,16,13.5,5,2,True,medio,1,2,1,0
Senior Control System Engineer in Abroad - CAN AUS NZ DN,RECRUITMENT CANADA IMMIGRATION CANADA,"Dubai, Australia, Canada, Hong Kong",8 - 13 Years,8,13,10.5,5,4,True,senior,1,4,0,1
Abroad Requiremen - Software Testing     - CANADA  /   AUSTRALIA,RECRUITMENT CANADA IMMIGRATION CANADA,"Other Gulf/Middle East Location(s), Australia, Canada",8 - 13 Years,8,13,10.5,5,3,True,medio,1,3,1,0
ABROAD REQUIREMENT- SENIOR UI  ENGINEER -CANADA  /  AUSTRALIA,RECRUITMENT CANADA IMMIGRATION CANADA,"Australia, Canada, Hong Kong, New Zealand",8 - 13 Years,8,13,10.5,5,4,True,senior,1,4,0,1
Abroad Requirement  /  Software Engineer    ( CANADA  /  AUSTRALIA ),RECRUITMENT CANADA IMMIGRATION CANADA,"Australia, Canada",8 - 13 Years,8,13,10.5,5,2,True,medio,1,2,1,0
OVERSEAS REQUIREMENT  - SENIOR SOFTWARE DEVELOPER  - CAN AUS UK,RECRUITMENT CANADA IMMIGRATION CANADA,"Dubai, Australia, Canada, Hong Kong, New Zealand",8 - 13 Years,8,13,10.5,5,5,True,senior,1,5,0,1
ABROAD JOB OFFER - BANKING ALL PROFILE - CANADA - AUSTRALIA,RECRUITMENT CANADA IMMIGRATION CANADA,"Canada, Other International Location(s)",5 - 10 Years,5,10,7.5,5,2,True,medio,1,2,1,0
ABROAD  REQUIREMENT - SUPPLY CHAIN – AUSTRALIA  /  CANADA,RECRUITMENT CANADA IMMIGRATION CANADA,"Australia, Canada",8 - 13 Years,8,13,10.5,5,2,True,medio,1,2,1,0
ABROAD JOBS - BUSINESS  &  PROJECT HEAD - CANADA  /  AUSTRALIA,RECRUITMENT CANADA IMMIGRATION CANADA,"Australia, Canada, Other International Location(s)",12 - 17 Years,12,17,14.5,5,3,True,senior,1,3,0,1
