Job Title,Company Name,Location,Experience (Years),Min Experience,Max Experience,Experiencia Media,Rango Experiencia,Num Ubicaciones,Oferta Exterior
Abroad Requirement IT Manager,RECRUITMENT CANADA IMMIGRATION CANADA,"Australia, Canada",7 - 12 Years,7,12,9.5,5,2,True
"""IT Sales Executive"" , Business Development Executive",Serviots technology Pvt Ltd,Ahmedabad,2 - 6 Years,2,6,4.0,4,1,False
Facilities Manager,Sameer namdep Kedari,"Bengaluru / Bangalore, Sibsagar, Bhagalpur, Muzaffarpur, Patna",4 - 9 Years,4,9,6.5,5,5,False
SAP Experienced Candidates,TORRENT POWER LIMITED,Ahmedabad,3 - 5 Years,3,5,4.0,2,1,False
Technician- Electrical Maintenance,Suman kumar,"Delhi, Gurgaon, Pune, Indore, Bhubaneshwar",5 - 10 Years,5,10,7.5,5,5,False
React Native Developer,Management And Computer Consultants,Kolkata,1 - 4 Years,1,4,2.5,3,1,False
Site  Engineer  Job In  AUSTRALIA,World wide Immigration Service Llp,Australia,4 - 8 Years,4,8,6.0,4,1,True
QA | QC Engineer  Job In CANADA,World wide Immigration Service Llp,Canada,3 - 8 Years,3,8,5.5,5,1,True
Sr. Sales Engineer /  Sales Manager,Ambetronics Engineers Pvt. Ltd.,Mumbai,10 - 15 Years,10,15,12.5,5,1,False
MDM Data Analyst,Techno Wise,Pune,2 - 7 Years,2,7,4.5,5,1,False
Software Engineer Job In  GERMANY,ADAL IMMIGRATIONS LLP,Germany,3 - 8 Years,3,8,5.5,5,1,True
QA | QC Engineer  Job In AUSTRALIA,World wide Immigration Service Llp,Australia,4 - 8 Years,4,8,6.0,4,1,True
Network  Engineer Job In AUSTRALIA,World wide Immigration Service Llp,Australia,4 - 8 Years,4,8,6.0,4,1,True
QA | QC Engineer  Job In NEW ZEALAND,World wide Immigration Service Llp,New Zealand,3 - 8 Years,3,8,5.5,5,1,True
Hardware  Engineer  Job In ABROAD,World wide Immigration Service Llp,"Canada, Singapore",2 - 7 Years,2,7,4.5,5,2,True
Java - Sr. Developer  /  Lead - J48543,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,6 - 11 Years,6,11,8.5,5,1,False
Software Engineer,FLARIAL SERVICES LLP,"Australia, Canada, Germany, Singapore",3 - 8 Years,3,8,5.5,5,4,True
Selenium with Java Trainer,TMOKSHA TECHNOLOGIES PRIVATE LIMITED,Pune,3 - 8 Years,3,8,5.5,5,1,False
"SAP Basis Consultant , Senior SAP Basis Consultant",Techno Wise,Pune,7 - 12 Years,7,12,9.5,5,1,False
Field Sales  &  Marketing Executive,ABC Brothers Tech I Pvt Ltd,Ahmedabad,1 - 2 Years,1,2,1.5,1,1,False
Chief Executive Officer  ( CEO ),Sarosh Karki,"Ahmedabad, Bengaluru / Bangalore, Chennai, Kolkata, Pune",5 - 10 Years,5,10,7.5,5,5,False
"Orbit Wallet - React ,  MERN Stack ,  Backend Intern roles",ACCIOJOB PRIVATE LIMITED,Bengaluru / Bangalore,0 - 1 Years,0,1,0.5,1,1,False
AWS Solution Architect Internship in Pune,Maxgen Technologies,"Pune, Amravati, Dhule, Sangli, Satara",0 - 1 Years,0,1,0.5,1,5,False
Java Internship in Pune,Maxgen Technologies,"Pune, Jalgaon, Kolhapur, Nagpur, Solapur",0 - 1 Years,0,1,0.5,1,5,False
MARKETING EXECUTIVE,SV ELECTRONICS,"Aurangabad, Nasik",1 - 2 Years,1,2,1.5,1,2,False
SAP proffessionals,TORRENT POWER LIMITED,Ahmedabad,3 - 5 Years,3,5,4.0,2,1,False
Business Analyst,Management And Computer Consultants,Kolkata,2 - 4 Years,2,4,3.0,2,1,False
"""CalibrationEngineer"" , Electrical Control Engineer",PUNYAM ACADEMY PRIVATE LIMITED,Ahmedabad,1 - 5 Years,1,5,3.0,4,1,False
Software Engineer  Job In NEW ZEALAND,World wide Immigration Service Llp,New Zealand,3 - 8 Years,3,8,5.5,5,1,True
Java Full Stack Developer - J48544,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,8 - 12 Years,8,12,10.0,4,1,False
Mern Stack Internship in Ahmedabad,Maxgen Technologies,"Ahmedabad, Anand, Gandhinagar, Mehsana, Surat",0 - 1 Years,0,1,0.5,1,5,False
.net Core Developer,Management And Computer Consultants,Kolkata,2 - 6 Years,2,6,4.0,4,1,False
Executive - SAP BASIS,TORRENT POWER LIMITED,Ahmedabad,3 - 5 Years,3,5,4.0,2,1,False
Commercial Inventory Associate 42396 GGN - J48545,SAMPOORNA CONSULTANTS PVT LTD,Gurgaon,1 - 3 Years,1,3,2.0,2,1,False
Data Science Internship in Ahmedabad,Maxgen Technologies,"Ahmedabad, Bhavnagar, Junagarh, Rajkot, Surendranagar",0 - 1 Years,0,1,0.5,1,5,False
OVERSEAS JOB - APPLICATION DEVELOPMENT -  INTERNATIONAL LOCATION,RECRUITMENT CANADA IMMIGRATION CANADA,Canada,8 - 13 Years,8,13,10.5,5,1,True
ABROAD REQUIREMENT - DBA  / ORACAL  / SQL - INTERNATIONAL LOCATION,RECRUITMENT CANADA IMMIGRATION CANADA,"Australia, Canada, Other International Location(s)",8 - 13 Years,8,13,10.5,5,3,True
ABROAD JOB OFFER - CORPORATE SALES - CAN AUS NZ DM UK GULF,RECRUITMENT CANADA IMMIGRATION CANADA,"Australia, Canada, Other International Location(s)",8 - 13 Years,8,13,10.5,5,3,True
Internation Job for Tour  &  Traval - canada Austraia,RECRUITMENT CANADA IMMIGRATION CANADA,"Canada, Other International Location(s)",10 - 15 Years,10,15,12.5,5,2,True
REQUIREMENT - HOSPITALITY JOB OFFER  - CANADA AUSTRALIA,RECRUITMENT CANADA IMMIGRATION CANADA,"Canada, Other International Location(s)",11 - 16 Years,11,16,13.5,5,2,True
Senior Control System Engineer in Abroad - CAN AUS NZ DN,RECRUITMENT CANADA IMMIGRATION CANADA,"Dubai, Australia, Canada, Hong Kong",8 - 13 Years,8,13,10.5,5,4,True
Abroad Requiremen - Software Testing     - CANADA  /   AUSTRALIA,RECRUITMENT CANADA IMMIGRATION CANADA,"Other Gulf/Middle East Location(s), Australia, Canada",8 - 13 Years,8,13,10.5,5,3,True
ABROAD REQUIREMENT- SENIOR UI  ENGINEER -CANADA  /  AUSTRALIA,RECRUITMENT CANADA IMMIGRATION CANADA,"Australia, Canada, Hong Kong, New Zealand",8 - 13 Years,8,13,10.5,5,4,True
Abroad Requirement  /  Software Engineer    ( CANADA  /  AUSTRALIA ),RECRUITMENT CANADA IMMIGRATION CANADA,"Australia, Canada",8 - 13 Years,8,13,10.5,5,2,True
OVERSEAS REQUIREMENT  - SENIOR SOFTWARE DEVELOPER  - CAN AUS UK,RECRUITMENT CANADA IMMIGRATION CANADA,"Dubai, Australia, Canada, Hong Kong, New Zealand",8 - 13 Years,8,13,10.5,5,5,True
ABROAD JOB OFFER - BANKING ALL PROFILE - CANADA - AUSTRALIA,RECRUITMENT CANADA IMMIGRATION CANADA,"Canada, Other International Location(s)",5 - 10 Years,5,10,7.5,5,2,True
ABROAD  REQUIREMENT - SUPPLY CHAIN – AUSTRALIA  /  CANADA,RECRUITMENT CANADA IMMIGRATION CANADA,"Australia, Canada",8 - 13 Years,8,13,10.5,5,2,True
ABROAD JOBS - BUSINESS  &  PROJECT HEAD - CANADA  /  AUSTRALIA,RECRUITMENT CANADA IMMIGRATION CANADA,"Australia, Canada, Other International Location(s)",12 - 17 Years,12,17,14.5,5,3,True
ABROAD JOB REQUIREMENT - WINDOW ADMIN - CANADA  /  AUSTRALIA,RECRUITMENT CANADA IMMIGRATION CANADA,"Dubai, Australia, Canada, Hong Kong, New Zealand",12 - 17 Years,12,17,14.5,5,5,True
"""Lead Python Developer""",Sparks To Ideas,Ahmedabad,0 - 2 Years,0,2,1.0,2,1,False
Software Developer  ( .net Developer ),Ambetronics Engineers Pvt. Ltd.,Mumbai,1 - 3 Years,1,3,2.0,2,1,False
"IT Auditor , IT Audit",Next Step Associates,Mumbai,5 - 9 Years,5,9,7.0,4,1,False
IT Manager,HUE SERVICE PRIVATE LIMITED,"Kolkata, Guwahati, Patna, Ranchi, Bhubaneshwar",5 - 10 Years,5,10,7.5,5,5,False
IT sales,Hiring Plus,"Mumbai, Navi Mumbai, Thane",1 - 2 Years,1,2,1.5,1,3,False
IT Recruiter,SKYWALK VISA IMMIGRATION SERVICES LLP,Unknown,2 - 7 Years,2,7,4.5,5,1,False
IT Manager,Sunil,"Mauritius, New Zealand, Thailand",2 - 7 Years,2,7,4.5,5,3,True
IT Manager,Sunil,"Turkey, Bangladesh, Indonesia, Malaysia, Maldives",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Dubai, Fujairah, Ras Al Khaimah, Sharjah, Um Al Qaiwan",2 - 7 Years,2,7,4.5,5,5,True
IT Manager,Sunil,"Eastern Province, Jeddah, Abu Dhabi, Al Ain, Ajman",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Kuwait City, Beirut, Muscat, Doha, Al Madina Al Munawarah",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Kolkata, Malda, Midnapur, Raniganj, Siliguri",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Asansol, Burdwan, Durgapur, Haldia, Kharagpur",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Haldwani, Haridwar, Nainital, Roorkee, Rudrapur",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Muzaffarnagar, Noida/Greater Noida, Saharanpur, Varanasi / Banaras, Dehradun",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Kanpur, Lucknow, Mathura, Meerut, Moradabad",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Allahabad, Bareilly, Faizabad, Ghaziabad, Gorakhpur",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Tuticorin, Vellore, Agartala, Agra, Aligarh",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Ooty, Salem, Thanjavur, Tirunelveli, Trichy",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Erode, Hosur, Kanniyakumari, Madurai, Nagercoil",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Udaipur, Gangtok, Chennai, Coimbatore, Cuddalore",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Bikaner, Jaipur, Jaisalmer, Jodhpur, Kota",2 - 7 Years,2,7,4.5,5,5,False
IT Supervisor,Personnel Selexions - Executive Search,Unknown,2 - 7 Years,2,7,4.5,5,1,False
IT Manager,Sunil,"Patiala, Ropar, Sangrur, Ajmer, Alwar",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Moga, Mohali, Muktsar, Nawanshahr, Pathankot",2 - 7 Years,2,7,4.5,5,5,True
IT Manager,Sunil,"Bathinda, Faridkot, Fatehgarh Sahib, Ferozepur, Gurdaspur",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Paradeep, Puri, Rourkela, Amritsar, Batala",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Hoshiarpur, Jalandhar, Kapurthala, Ludhiana, Mansa",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Aizawal, Dimapur, Kohima, Bhubaneshwar, Cuttack",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Vasai, Virar, Yavatmal, Imphal, Shillong",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Aurangabad, Bhiwandi, Bhusawal, Buldhana, Chandrapur",2 - 7 Years,2,7,4.5,5,5,True
IT Manager,Sunil,"Pune, Sangli, Satara, Solapur, Thane",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Mumbai, Nagpur, Nanded, Nasik, Navi Mumbai",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Kalyan, Kolhapur, Latur, Lonavala, Mahabaleshwar",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Dhule, Dombivali, Gondia, Hinganghat, Jalgaon",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Indore, Jabalpur, Katni, Ratlam, Sagar",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Palakkad, Thiruvananthapuram, Thrissur, Bhopal, Gwalior",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Jammu, Kargil, Kathua, Kupwara, Leh",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Kaithal, Karnal, Kurukshetra, Mahendergarh, Narnaul",2 - 7 Years,2,7,4.5,5,5,True
IT Manager,Sunil,"Gulbarga, Hubli, Kolar, Mangalore, Mysoru / Mysore",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Bellary, Bengaluru / Bangalore, Bidar, Davanagere, Dharwad",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Calicut/ Kozhikode, Cochin/ Kochi/ Ernakulam, Kannur, Kollam, Kottayam",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Bokaro, Dhanbad, Jamshedpur, Ranchi, Belgaum",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Panchkula, Panipat, Rewari, Rohtak, Sirsa",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Poonch, Pulwama, Rajouri, Srinagar, Udhampur",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Dalhousie, Dharamshala, Hamirpur, Kangra, Kasauli",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Una, Anantnag, Baramulla, Budgam, Doda",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Nalagarh, Parwanoo, Shimla, Sirmaur, Solan",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Kinnaur, Kullu, Lahaul & Spiti, Manali, Mandi",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Fatehabad, Gurgaon, Hissar, Jhajjar, Jind",2 - 7 Years,2,7,4.5,5,5,False
